epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9096,1.74976,3.22349,1.28258,0.00385,0.51362,0.11689,0.06593,1.74905,3.3747,1.23727,0.000545918,0.000545918,0.000545918
2,46.9242,1.77029,2.34209,1.28138,0.71295,0.33683,0.44501,0.21061,1.80239,2.24964,1.33355,0.00104706,0.00104706,0.00104706
3,68.0159,1.81348,2.18475,1.32924,0.41568,0.43069,0.36148,0.15787,1.90947,3.64663,1.4083,0.00149318,0.00149318,0.00149318
4,89.522,1.79624,1.96664,1.32936,0.53805,0.29299,0.28796,0.13478,1.87539,2.37805,1.36048,0.00141945,0.00141945,0.00141945
5,109.115,1.77369,1.79059,1.30488,0.55626,0.44543,0.46048,0.21027,1.89603,1.77581,1.34176,0.00133693,0.00133693,0.00133693
6,129.126,1.71352,1.68718,1.28029,0.63181,0.39634,0.46069,0.22046,1.80014,1.60784,1.29008,0.00125442,0.00125442,0.00125442
7,149.057,1.69459,1.53552,1.26716,0.60806,0.50432,0.51661,0.24567,1.81476,1.55074,1.31174,0.0011719,0.0011719,0.0011719
8,169.818,1.66909,1.4424,1.24221,0.65773,0.47483,0.54619,0.2549,1.82321,1.55345,1.3391,0.00108938,0.00108938,0.00108938
9,191.172,1.65331,1.42705,1.24431,0.65747,0.54228,0.57077,0.25685,1.81747,1.40633,1.32018,0.00100687,0.00100687,0.00100687
10,211.016,1.62371,1.31751,1.2243,0.62639,0.51321,0.57106,0.28168,1.73224,1.38357,1.28353,0.000924352,0.000924352,0.000924352
11,232.296,1.57433,1.35888,1.2055,0.59966,0.58294,0.58723,0.28747,1.69865,1.42462,1.29674,0.000841835,0.000841835,0.000841835
12,252.089,1.55597,1.245,1.18231,0.69232,0.49436,0.5858,0.27703,1.76628,1.34695,1.26796,0.000759318,0.000759318,0.000759318
13,271.673,1.54908,1.14246,1.1745,0.713,0.50141,0.59322,0.2992,1.71154,1.29284,1.26959,0.000676802,0.000676802,0.000676802
14,292.404,1.51157,1.0954,1.15477,0.74204,0.55346,0.63069,0.30358,1.71751,1.26773,1.24991,0.000594286,0.000594286,0.000594286
15,312.277,1.47625,1.04077,1.15767,0.74014,0.56006,0.62219,0.29798,1.78174,1.28395,1.31364,0.000511769,0.000511769,0.000511769
16,331.865,1.45523,1.03419,1.13218,0.69971,0.59421,0.63984,0.31664,1.69415,1.15182,1.2551,0.000429253,0.000429253,0.000429253
17,350.887,1.42469,0.97774,1.12386,0.63113,0.6254,0.63039,0.30671,1.6806,1.20258,1.23944,0.000346736,0.000346736,0.000346736
18,370.124,1.40448,0.92431,1.10734,0.65426,0.62719,0.65065,0.31559,1.73604,1.12268,1.25981,0.00026422,0.00026422,0.00026422
19,388.919,1.36433,0.88715,1.08564,0.67706,0.59471,0.6353,0.31807,1.71154,1.17422,1.26808,0.000181703,0.000181703,0.000181703
20,409.28,1.34707,0.8744,1.07625,0.71423,0.59888,0.65929,0.32506,1.68354,1.07698,1.25522,9.91865e-05,9.91865e-05,9.91865e-05
